is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,9100.0,214000.0,43625355.0,374.0,2110,13,0,52,1,5,6,55,1,1
0,748.0,181000.0,38479384.0,752.0,1003,6,1,54,1,11,3,60,0,1
0,997.0,7000.0,2323470.0,531.0,1515,6,1,45,1,7,5,27,1,1
1,17.0,1660000.0,750719211.0,1891.0,649,3,1,53,1,15,6,78,1,3
0,188.0,4080.0,18263017.0,92.0,1458,8,1,54,1,3,4,5,1,1
0,1255.0,29000.0,3474076.0,288.0,5220,6,0,18,1,4,0,84,1,1
1,24.0,10400.0,9806076.0,186.0,329,10,1,53,1,7,5,89,1,1
0,1067.0,24600.0,6757983.0,632.0,2745,6,1,45,0,14,2,83,0,1
0,22639.0,55300.0,44927130.0,3432.0,1822,6,1,45,1,20,6,23,1,1
0,1014.0,143000.0,45948720.0,1727.0,2522,6,1,45,1,12,5,55,1,1
0,14171.0,13300.0,7704765.0,116.0,233,10,1,45,1,0,1,96,0,1
0,16834.0,261000.0,149618657.0,4498.0,2242,6,1,45,1,14,5,82,1,2
0,10759.0,137000.0,14721353.0,243.0,2798,6,1,54,1,17,2,46,0,1
0,1130.0,29400.0,7158245.0,113.0,448,10,1,23,1,11,4,33,1,1
0,1062.0,47400.0,18368976.0,547.0,4770,6,1,45,1,11,1,80,1,1
0,6435.0,321000.0,103596877.0,966.0,1935,6,1,45,1,14,5,61,1,1
0,12935.0,36300.0,65544880.0,2954.0,5001,6,1,45,1,14,2,26,1,1
0,652.0,67000.0,12468932.0,277.0,963,6,0,45,1,10,3,39,0,1
0,552.0,423000.0,270666593.0,3257.0,3625,6,1,45,1,3,3,88,1,1
0,891.0,122000.0,67114368.0,2056.0,3637,6,1,45,1,8,0,41,1,1
0,78.0,1030000.0,217958148.0,509.0,718,6,0,53,0,17,1,58,1,2
0,231.0,2030000.0,861025094.0,2266.0,1012,8,0,41,0,10,1,76,1,1
1,44.0,325000.0,275641826.0,8122.0,1920,4,1,45,1,4,4,38,1,1
0,38431.0,622000.0,264486346.0,2294.0,3998,6,1,45,1,23,2,38,1,1
0,1098.0,19700.0,6262593.0,1009.0,1256,6,0,45,1,10,0,74,1,1
0,601.0,71300.0,18526823.0,851.0,3786,6,1,45,1,9,1,56,0,1
0,839.0,45900.0,20315063.0,363.0,393,10,1,45,1,10,0,57,0,1
0,231.0,45700.0,61301622.0,16.0,4084,8,0,18,1,12,1,57,0,1
1,59.0,49800.0,39398118.0,656.0,919,10,0,18,1,11,5,13,1,2
0,3600.0,542000.0,215155850.0,1135.0,3825,6,0,52,1,14,4,45,1,1
0,239.0,39.0,10824.0,28.0,171,8,1,54,1,10,5,5,1,1
0,486.0,203000.0,65367078.0,6530.0,4816,6,0,18,1,11,5,66,0,1
0,29341.0,10400.0,1772320.0,1830.0,3899,6,0,18,1,19,6,98,1,1
0,21745.0,27200.0,8496448.0,485.0,1806,6,1,45,1,17,1,29,0,1
0,222.0,1490.0,546889.0,1.0,197,8,1,54,1,16,3,8,1,2
0,543.0,269000.0,121254708.0,2938.0,5589,6,0,45,1,10,5,19,1,1
0,144.0,4620000.0,3750793742.0,1949.0,1612,4,0,41,0,5,5,30,1,1
0,898.0,201000.0,80761821.0,1089.0,2758,6,1,45,1,9,0,85,0,1
0,896.0,18300.0,4163591.0,942.0,2872,6,0,18,1,5,3,73,1,1
0,10455.0,311000.0,212642188.0,5184.0,2013,13,1,45,1,13,3,64,0,1
0,428.0,169000.0,22125248.0,377.0,2798,6,1,45,1,10,0,40,1,1
0,2561.0,3270000.0,2422686253.0,5528.0,6101,6,1,45,1,9,2,58,1,1
1,44.0,2090000.0,971004763.0,2357.0,649,3,0,53,1,4,2,70,1,3
0,1423.0,55200.0,36108972.0,1095.0,4979,6,0,54,1,10,6,44,1,1
0,762.0,3520000.0,1933126712.0,3500.0,4699,6,1,23,0,13,3,55,1,2
0,12050.0,53500.0,10884617.0,761.0,4984,6,0,18,1,20,1,60,0,1
0,293.0,114000.0,49682391.0,1165.0,1626,6,0,45,1,11,6,63,1,1
0,528.0,83700.0,18171054.0,460.0,339,5,1,45,1,10,0,88,1,1
0,9621.0,577000.0,242589827.0,1229.0,3825,6,0,52,1,14,6,28,1,2
0,21256.0,633000.0,285461394.0,2534.0,3998,6,1,45,1,15,4,14,1,1
0,1039.0,474000.0,221019477.0,825.0,4890,6,1,53,1,12,2,26,0,1
1,30.0,239000.0,367796244.0,6113.0,3199,6,0,45,1,12,3,32,1,2
0,1233.0,21200.0,2190495.0,465.0,3852,6,1,45,1,9,5,67,1,1
0,817.0,94400.0,69313046.0,1336.0,3273,6,1,45,1,9,3,79,1,1
0,315.0,5830.0,6384224.0,51.0,1480,8,1,54,1,10,1,4,1,1
0,276.0,60000.0,151055144.0,35.0,5987,8,1,54,1,7,3,22,1,1
0,1132.0,63800.0,78403095.0,2198.0,3976,6,1,45,1,10,2,89,1,1
0,14596.0,1180000.0,517212748.0,3668.0,1682,6,1,45,1,16,1,61,1,1
0,1582.0,208000.0,124021376.0,2126.0,3882,6,1,45,1,10,6,61,0,1
0,23100.0,2450000.0,870665508.0,2002.0,2830,6,0,23,1,16,6,53,1,2
0,491.0,1450000.0,722286177.0,35460.0,3307,13,0,54,1,21,5,84,1,3
0,1043.0,22000.0,8495647.0,345.0,448,6,1,18,1,9,2,40,1,1
0,2436.0,69700.0,29833371.0,1532.0,5519,6,1,45,1,14,5,58,1,1
0,2384.0,3260000.0,2397722002.0,5462.0,6101,6,1,45,1,9,2,39,1,1
0,1749.0,667000.0,149064432.0,2308.0,5256,6,1,45,1,6,6,51,1,1
0,163.0,10000.0,5680034.0,409.0,520,10,0,18,1,11,6,34,1,2
0,100.0,20600.0,19248029.0,829.0,1109,10,1,18,1,6,1,37,1,1
1,50.0,61900.0,93434231.0,3033.0,694,13,1,45,1,8,2,54,0,1
0,581.0,259000.0,93851516.0,1023.0,3427,6,1,45,1,5,4,63,0,1
0,67.0,83500.0,47409483.0,556.0,2109,2,1,45,1,13,4,35,1,1
0,229.0,69400.0,91750319.0,166.0,5679,8,0,18,1,14,6,54,0,1
0,1434.0,6420000.0,2133631138.0,518.0,4084,4,0,39,1,14,2,55,0,3
0,722.0,60000.0,71369915.0,2739.0,2158,6,0,45,1,4,3,35,1,1
0,10516.0,110000.0,33870000.0,3064.0,6648,6,0,18,1,17,1,60,1,1
0,483.0,183000.0,157526697.0,2443.0,1849,6,1,45,1,3,6,43,1,1
0,729.0,49300.0,20516725.0,617.0,4770,6,0,45,1,10,4,51,1,1
0,182.0,144.0,39490207.0,153.0,3046,8,0,54,1,10,1,14,1,1
0,192.0,13900000.0,4746856667.0,53161.0,7134,13,0,42,1,15,5,55,1,2
0,24831.0,93100.0,32895490.0,3739.0,4250,6,1,45,1,16,0,31,1,1
1,59.0,1130000.0,230663442.0,1470.0,4257,9,1,45,0,6,4,23,0,1
0,787.0,54000.0,17752315.0,833.0,2962,6,1,45,1,4,5,71,0,1
0,6507.0,2440000.0,843220342.0,1956.0,2830,6,0,23,1,14,1,47,1,1
1,18.0,20000.0,15581135.0,847.0,811,10,1,53,1,8,3,54,1,1
0,677.0,10700.0,5445476.0,88.0,1881,10,1,54,1,23,5,42,0,1
0,22368.0,488000.0,105582446.0,1576.0,3634,6,0,41,1,18,1,80,1,1
1,51.0,522000.0,433430438.0,88425.0,2971,9,1,45,1,7,4,35,1,2
0,1770.0,15900.0,1688647.0,56.0,6090,6,0,18,1,10,4,54,1,1
0,1042.0,111000.0,15683823.0,256.0,3840,6,1,54,1,7,6,60,0,1
