video_category_id,video_trending_country,publish_hour,publish_day_of_week,title_length,tag_count,channel_subscriber_count,video_definition,video_licensed_content,channel_have_hidden_subscribers,is_shorts,reach_level
8,1,3,4,5,1,4080.0,1,1,0,0,1
6,0,4,0,84,1,29000.0,1,1,0,0,1
10,1,7,5,89,1,10400.0,1,1,0,1,1
6,1,14,2,83,0,24600.0,1,0,0,0,1
6,1,20,6,23,1,55300.0,1,1,0,0,1
6,1,12,5,55,1,143000.0,1,1,0,0,1
10,1,0,1,96,0,13300.0,1,1,0,0,1
6,1,14,5,82,1,261000.0,1,1,0,0,2
6,1,17,2,46,0,137000.0,1,1,0,0,1
10,1,11,4,33,1,29400.0,1,1,0,0,1
6,1,11,1,80,1,47400.0,1,1,0,0,1
6,1,14,5,61,1,321000.0,1,1,0,0,1
6,1,14,2,26,1,36300.0,1,1,0,0,1
6,0,10,3,39,0,67000.0,1,1,0,0,1
6,1,3,3,88,1,423000.0,1,1,0,0,1
6,1,8,0,41,1,122000.0,1,1,0,0,1
6,0,17,1,58,1,1030000.0,1,0,0,0,2
8,0,10,1,76,1,2030000.0,1,0,0,0,1
4,1,4,4,38,1,325000.0,1,1,0,1,1
6,1,23,2,38,1,622000.0,1,1,0,0,1
6,0,10,0,74,1,19700.0,1,1,0,0,1
6,1,9,1,56,0,71300.0,1,1,0,0,1
10,1,10,0,57,0,45900.0,1,1,0,0,1
8,0,12,1,57,0,45700.0,1,1,0,0,1
10,0,11,5,13,1,49800.0,1,1,0,1,2
6,0,14,4,45,1,542000.0,1,1,0,0,1
8,1,10,5,5,1,39.0,1,1,0,0,1
6,0,11,5,66,0,203000.0,1,1,0,0,1
6,0,19,6,98,1,10400.0,1,1,0,0,1
6,1,17,1,29,0,27200.0,1,1,0,0,1
8,1,16,3,8,1,1490.0,1,1,0,0,2
6,0,10,5,19,1,269000.0,1,1,0,0,1
4,0,5,5,30,1,4620000.0,1,0,0,0,1
6,1,9,0,85,0,201000.0,1,1,0,0,1
6,0,5,3,73,1,18300.0,1,1,0,0,1
